Search results:
    jquery.throttle git://github.com/wangshijun2010/jquery.throttle.git
    jquery-selector-set git://github.com/josh/jquery-selector-set.git
    jquery.serialScroll git://github.com/flesler/jquery.serialScroll.git
    spinjs-jquery git://gist.github.com/1290439.git
    jquery-ias git://github.com/webcreate/infinite-ajax-scroll
    jquery.smartbanner git://github.com/jmmerino/jquery.smartbanner.git
    jquery-ui.resizable-snap-extension git://github.com/polomoshnov/jQuery-UI-Resizable-Snap-extension.git
    jQuery.superLabels git://github.com/remybach/jQuery.superLabels
    jquery-highlightRegex git://github.com/jbr/jQuery.highlightRegex.git
    jquery-bootpag git://github.com/botmonster/jquery-bootpag.git
    jquery.fancybox git://github.com/Winbits/fancybox1.git
    jquery.masonry git://github.com/tysoncadenhead/masonry.git
    jquery.equalheights git://github.com/mattbanks/jQuery.equalHeights.git
    jquery-bbq-deparam git://github.com/nexxTM/jquery-deparam.git
    jquery-ui-touch-punch-improved git://github.com/Bantam/jquery-ui-touch-punch-improved.git
    jquery.spinjs git://github.com/tdoherty/jQuery.SpinJS.git
    jquery.pwstrength git://github.com/matoilic/jquery.pwstrength.git
    jquery-inputfit git://github.com/IWAtech/jquery.inputfit.js.git
    jquery-visibility git://github.com/mathiasbynens/jquery-visibility.git
    jquery.scrollwatch git://github.com/cobbweb/jquery.scrollwatch.git
    jquery-joyride git://github.com/zurb/joyride.git
    jquery-drilldown git://github.com/Cinamonas/jquery-drilldown.git
    request-animation-frame git://github.com/gnarf/jquery-requestAnimationFrame.git
    jquery-ellipsis git://github.com/STAR-ZERO/jquery-ellipsis.git
    angular-jquery git://github.com/mgcrea/angular-jquery.git
    jquery.finger git://github.com/ngryman/jquery.finger
    jquery-mobile-events git://github.com/caseywebdev/jquery-mobile-events
    jquery.bind-first git://github.com/private-face/jquery.bind-first.git
    jquery-selectBox git://github.com/marcj/jquery-selectBox.git
    jquery.atmosphere git://github.com/blittle/atmosphere.git
    Microsoft.jQuery.Unobtrusive.Validation git://github.com/whyleee/Microsoft.jQuery.Unobtrusive.Validation.git
    jq git://github.com/jquery/jquery.git
    jquery-xml2json git://github.com/sergeyt/jQuery-xml2json.git
    jquery-lazy git://github.com/eisbehr-/jquery.lazy.git
    jquery.shapeshift git://github.com/McPants/jquery.shapeshift.git
    jquery-qrcode git://github.com/gcusnieux/jquery-qrcode.git
    jquery.flip git://github.com/roncioso/Flip-jQuery.git
    jquery.fixedheadertable git://github.com/markmalek/Fixed-Header-Table.git
    jquery.slidizle git://github.com/olivierbossel/slidizle.git
    jquery.overlizle git://github.com/olivierbossel/overlizle.git
    jquery.terminal git://github.com/jcubic/jquery.terminal.git
    jquery-1.11.1 git://github.com/jquery/jquery.git
    jquery-prettyPhoto git://github.com/scaron/prettyphoto.git
    jquery-grill git://github.com/peterpajchl/jquery-grill.git
    jquery.tabbable git://github.com/marklagendijk/jQuery.tabbable.git
    jquery.tinymce git://github.com/rsilve/jquery.tinymce.git
    jquery-dropdown git://github.com/claviska/jquery-dropdown.git
    jquery.simplePagination git://github.com/flaviusmatis/simplePagination.js.git
    jquery.colorpicker git://github.com/vanderlee/colorpicker
    Microsoft.jQuery.Unobtrusive.Ajax git://github.com/whyleee/Microsoft.jQuery.Unobtrusive.Ajax.git
    jquery.formParams git://github.com/tinganho/jquery.formParams
    jquery.columnizer git://github.com/adamwulf/Columnizer-jQuery-Plugin.git
    chained git://github.com/tuupola/jquery_chained.git
    jqueryjs git://github.com/bowerjs/jquery.git
    jquery-timepicker git://github.com/fgelinas/timepicker.git
    jquery-caret git://github.com/DrPheltRight/jquery-caret.git
    jquery.pageguide git://github.com/sprintly/jquery.pageguide/
    jquery-dragndrop git://github.com/Cinamonas/jquery-dragndrop.git
    kapusta-jquery.sparkline git://github.com/kapusta/jquery.sparkline.git
    jquery-crop git://github.com/Cinamonas/jquery-crop.git
    jQuery.Marquee git://github.com/aamirafridi/jQuery.Marquee
    jquery.ajax.fake git://github.com/anasnakawa/jquery.ajax.fake.git
    troopjs-jquery git://github.com/troopjs/troopjs-jquery.git
    requirejs-jquery git://github.com/jrburke/require-jquery.git
    jquery-postmessage git://github.com/cowboy/jquery-postmessage.git
    jquery-total-storage git://github.com/jarednova/jquery-total-storage.git
    jQueryAlerts git://github.com/Atolye15-packs/jquery.alerts.git
    jquery-dotdotdot git://github.com/FrDH/jQuery.dotdotdot.git
    jquery-browser-detection git://github.com/schickling/jquery-browser-detection
    jquery-toggles git://github.com/simontabor/jquery-toggles.git
    jquery-impromptu git://github.com/trentrichardson/jQuery-Impromptu.git
    jquery-ui-touch-punch-valid git://github.com/cbier/bower-jquery-ui-touch-punch.git
    colpick git://github.com/josedvq/colpick-jQuery-Color-Picker.git
    jquery-rotate git://github.com/schickling/jquery-rotate
    jquery.soap git://github.com/doedje/jquery.soap.git
    jquery-truncate git://github.com/pathable/truncate.git
    jquery-placeholderText git://github.com/kitajchuk/jquery-placeholderText.git
    jquery.visible git://github.com/teamdf/jquery-visible.git
    jquery.validate git://github.com/ikajou/jquery-validation.git
    jquery-equalheights git://github.com/cviebrock/jquery-equalheights.git
    jquery.migrate git://github.com/fh-bower-packages/jquery.migrate.git
    jquery.socialshareprivacy git://github.com/patrickheck/socialshareprivacy.git
    jquery.iecors git://github.com/dkastner/jquery.iecors
    jquery-debounce git://github.com/jmalonzo/bower-jquery-debounce.git
    jquery-tags-input git://github.com/xoxco/jQuery-Tags-Input.git
    jquery-simulate-ext git://github.com/j-ulrich/jquery-simulate-ext.git
    jqueryui-touch-punch-improved git://github.com/Bantam/jquery-ui-touch-punch-improved.git
    jquery-modality git://github.com/Cinamonas/jquery-modality.git
    jquery.svg git://github.com/apendleton/jquery-svg.git
    jquery-dragpan git://github.com/lgoldstien/jquery-dragpan.git
    jquery.unslider git://github.com/idiot/unslider.git
    jquery-form-validator git://github.com/victorjonsson/jQuery-Form-Validator.git
    jQuery-One-Page-Nav git://github.com/davist11/jQuery-One-Page-Nav.git
    jquery.mousewheel git://github.com/chrislearn/jquery.mousewheel.git
    jquery-geocomplete git://github.com/ubilabs/geocomplete.git
    cometd-javascript-jquery git://github.com/marksherretta/cometd-javascript-jquery.git
    brandon-aaron-jquery-outerhtml-function git://github.com/brandonaaron/jquery-outerhtml.git
    linkify git://github.com/bradbeattie/jquery-linkify.git
    jquery-textcomplete git://github.com/yuku-t/jquery-textcomplete.git
    jquery-bgiframe git://github.com/brandonaaron/bgiframe.git
    jquery-whenall git://github.com/soundcloud/jquery-whenall
    stupid-jquery-table-sort git://github.com/joequery/Stupid-Table-Plugin.git
    jquery-infinite-scroll git://github.com/paulirish/infinite-scroll.git
    jquery-selectorator git://github.com/ngs/jquery-selectorator.git
    stickem git://github.com/davist11/jQuery-Stickem
    simpleWeather git://github.com/monkeecreate/jquery.simpleWeather.git
    jquery-fittext.js git://github.com/davatron5000/FitText.js
    jquery.autotab git://github.com/Mathachew/jquery-autotab.git
    jquery-numeric git://github.com/scribenet/jquery-numeric.git
    jquery-stylesheet git://github.com/f0r4y312/jquery-stylesheet.git
    jqueryui-sunrise-bower git://github.com/Victa/jqueryui-sunrise-bower.git
    timepicker git://github.com/jonthornton/jquery-timepicker
    easytabs git://github.com/JangoSteve/jQuery-EasyTabs.git
    jquery-once git://github.com/RobLoach/jquery-once.git
    jquery-ui-ember git://github.com/bobey/jquery-ui-ember.git
    jquery.classList git://github.com/mzgol/jquery.classList.git
    jquery-textext git://github.com/alexgorbatchev/jquery-textext.git
    jquery-treetable git://github.com/ludo/jquery-treetable.git
    jknob git://github.com/aterrien/jQuery-Knob.git
    jquery-cropbox git://github.com/acornejo/jquery-cropbox.git
    jQuery-Collapse git://github.com/danielstocks/jQuery-Collapse
    jquery.splitter git://github.com/jcubic/jquery.splitter.git
    jquery-waitforimages git://github.com/StarterSquad/waitForImages.git
    jquery-image-uploader git://github.com/jdeniau/jquery-image-uploader.git
    jquery-pop git://github.com/Cinamonas/jquery-pop.git
    angular-jqfile-upload git://github.com/DominicBoettger/jQuery-File-Upload.git
    jquery.xdomainrequest git://github.com/MoonScript/jQuery-ajaxTransport-XDomainRequest.git
    jquery.smartWizard-bower git://github.com/JamesMura/jQuery-Smart-Wizard-bower.git
    jquery-dropkick git://github.com/JamieLottering/DropKick.git
    jquery-smooth-scrolling git://github.com/mathiasbynens/jquery-smooth-scrolling.git
    jquery-mobile-min git://github.com/dimsk/jquery-mobile
    jquery.rest git://github.com/jpillora/jquery.rest/
    jQuery-Validation-Engine git://github.com/posabsolute/jQuery-Validation-Engine.git
    jquery-nod git://github.com/casperin/nod.git
    jquery.drag-n-crop git://github.com/lukaszfiszer/drag-n-crop.git
    jquery-simple-datetimepicker git://github.com/mugifly/jquery-simple-datetimepicker.git
    jquery-nearest git://github.com/gilmoreorless/jquery-nearest.git
    jquery.avgrund git://github.com/voronianski/jquery.avgrund.js.git
    jquery-validation.password git://github.com/jzaefferer/jquery-validation.password.git
    ember-auth-request-jquery git://github.com/heartsentwined/ember-auth-request-jquery.git
    jquery.fileapi git://github.com/RubaXa/jquery.fileapi.git
    jquery.smartheader.js git://github.com/lukechesser/jquery.SmartHeader.js.git
    jquery-smartSearch git://github.com/Padam87/jquery-smartSearch.git
    jquery-scrollspy-thesmart git://github.com/thesmart/jquery-scrollspy.git
    sdi-jquery-ui git://github.com/sdicgdev/jquery-ui.git
    jquery-multiselect git://github.com/dio-el-claire/jquery-multiselect
    jQuery.idfy git://github.com/pigulla/jQuery.idfy.git
    jquery-textchange git://github.com/jmalonzo/bower-jquery-textchange.git
    weather git://github.com/danheberden/jquery-weather.git
    jquery-icbiacontrol git://github.com/matthewwithanm/jquery-icbiacontrol.git
    jquery-price-format git://github.com/flaviosilveira/Jquery-Price-Format.git
    jquery-smartFunnel git://github.com/Padam87/jquery-smartFunnel.git
    jquery.autocomplete git://github.com/julien-c/jQueryAutocompletePlugin.git
    jquery-linkify git://github.com/maranomynet/linkify.git
    circliful git://github.com/pguso/jquery-plugin-circliful.git
    jquery-bootstrap-scripting git://github.com/Nikku/jquery-bootstrap-scripting.git
    jquery.pulsate git://github.com/Kilian/jQuery.pulsate.git
    jquery-popunder git://github.com/hpbuniat/jquery-popunder.git
    jquery-details git://github.com/mathiasbynens/jquery-details.git
    jquery-i18n git://github.com/recurser/jquery-i18n.git
    countto git://github.com/mhuggins/jquery-countTo.git
    jquery-deserialize git://github.com/kflorence/jquery-deserialize.git
    jquery-scrollspy git://github.com/sxalexander/jquery-scrollspy.git
    panelsnap git://github.com/guidobouman/jquery-panelsnap
    jquery-messages git://github.com/yola/jquery-messages.git
    jquery.easie.js git://github.com/jaukia/easie.git
    jquery.smartresize git://github.com/bramsmulders/jquery.smartresize.git
    jquery.simulate git://github.com/j-ulrich/jquery-simulate-ext.git
    jquery-selectric git://github.com/lcdsantos/jQuery-Selectric.git
    jquery-serializeObject git://github.com/gillesruppert/jquery-serializeObject
    jQuery-Parallax git://github.com/nakalsio/jQuery-Parallax.git
    jquery.jscroll git://github.com/pklauzinski/jscroll.git
    ajaxchimp git://github.com/scdoshi/jquery-ajaxchimp.git
    jquery-popover git://github.com/klaas4/jQuery.popover.git
    atmosphere-jquery git://github.com/lytup/atmosphere-jquery.git
    jquery.preloadimages git://github.com/MattCain/jquery.preloadimages.git
    jquery-prestige git://github.com/Munter/jquery-prestige.git
    jakobmattsson-jquery-elastic git://github.com/jakobmattsson/jquery-elastic
    jquery-combobox git://github.com/jslayer/jquery-combobox.git
    jquery.editable git://github.com/shokai/jQuery.editable.git
